deviceTime_utc,deviceTime_local,deviceTime_unix,cpm,cpmError
2019-06-01 09:55:13+00:00,2019-06-01 02:55:13-07:00,1559382913,0.0,0.0
2019-06-01 05:50:19+00:00,2019-05-31 22:50:19-07:00,1559368219,0.0,0.0
2019-06-01 01:50:19+00:00,2019-05-31 18:50:19-07:00,1559353819,0.0,0.0
2019-05-31 21:50:19+00:00,2019-05-31 14:50:19-07:00,1559339419,0.0,0.0
2019-05-31 17:50:19+00:00,2019-05-31 10:50:19-07:00,1559325019,0.0,0.0
2019-05-31 13:50:19+00:00,2019-05-31 06:50:19-07:00,1559310619,0.0,0.0
2019-05-31 09:55:19+00:00,2019-05-31 02:55:19-07:00,1559296519,0.0,0.0
2019-05-31 05:50:14+00:00,2019-05-30 22:50:14-07:00,1559281814,0.0,0.0
2019-05-31 01:50:14+00:00,2019-05-30 18:50:14-07:00,1559267414,0.0,0.0
2019-05-30 21:50:14+00:00,2019-05-30 14:50:14-07:00,1559253014,0.0,0.0
2019-05-30 17:50:14+00:00,2019-05-30 10:50:14-07:00,1559238614,0.0,0.0
2019-05-30 13:50:14+00:00,2019-05-30 06:50:14-07:00,1559224214,0.0,0.0
2019-05-30 09:55:14+00:00,2019-05-30 02:55:14-07:00,1559210114,0.0,0.0
2019-05-30 05:55:13+00:00,2019-05-29 22:55:13-07:00,1559195713,0.0,0.0
2019-05-30 01:45:13+00:00,2019-05-29 18:45:13-07:00,1559180713,0.0,0.0
2019-05-29 21:55:13+00:00,2019-05-29 14:55:13-07:00,1559166913,0.0,0.0
2019-05-29 17:55:13+00:00,2019-05-29 10:55:13-07:00,1559152513,0.0,0.0
2019-05-29 13:55:13+00:00,2019-05-29 06:55:13-07:00,1559138113,0.0,0.0
2019-05-29 09:55:13+00:00,2019-05-29 02:55:13-07:00,1559123713,0.0,0.0
2019-05-29 06:05:19+00:00,2019-05-28 23:05:19-07:00,1559109919,0.0,0.0
2019-05-29 01:50:19+00:00,2019-05-28 18:50:19-07:00,1559094619,0.0,0.0
2019-05-28 21:50:24+00:00,2019-05-28 14:50:24-07:00,1559080224,0.0,0.0
2019-05-28 17:50:19+00:00,2019-05-28 10:50:19-07:00,1559065819,0.0,0.0
2019-05-28 13:50:24+00:00,2019-05-28 06:50:24-07:00,1559051424,0.0,0.0
2019-05-28 09:55:19+00:00,2019-05-28 02:55:19-07:00,1559037319,0.0,0.0
2019-05-23 20:10:25+00:00,2019-05-23 13:10:25-07:00,1558642225,0.0,0.0
2019-05-23 17:50:25+00:00,2019-05-23 10:50:25-07:00,1558633825,0.0,0.0
2019-05-23 13:50:25+00:00,2019-05-23 06:50:25-07:00,1558619425,0.0,0.0
2019-05-23 09:55:25+00:00,2019-05-23 02:55:25-07:00,1558605325,0.0,0.0
2019-05-23 05:55:13+00:00,2019-05-22 22:55:13-07:00,1558590913,0.0,0.0
2019-05-23 01:55:13+00:00,2019-05-22 18:55:13-07:00,1558576513,0.0,0.0
2019-05-22 21:55:13+00:00,2019-05-22 14:55:13-07:00,1558562113,0.0,0.0
2019-05-22 17:55:13+00:00,2019-05-22 10:55:13-07:00,1558547713,0.0,0.0
2019-05-22 13:55:13+00:00,2019-05-22 06:55:13-07:00,1558533313,0.0,0.0
2019-05-22 09:55:13+00:00,2019-05-22 02:55:13-07:00,1558518913,0.0,0.0
2019-05-22 05:50:15+00:00,2019-05-21 22:50:15-07:00,1558504215,0.0,0.0
2019-05-22 01:50:15+00:00,2019-05-21 18:50:15-07:00,1558489815,0.0,0.0
2019-05-21 21:50:15+00:00,2019-05-21 14:50:15-07:00,1558475415,0.0,0.0
2019-05-21 17:50:15+00:00,2019-05-21 10:50:15-07:00,1558461015,0.0,0.0
2019-05-21 13:50:15+00:00,2019-05-21 06:50:15-07:00,1558446615,0.0,0.0
2019-05-21 09:55:15+00:00,2019-05-21 02:55:15-07:00,1558432515,0.0,0.0
2019-05-21 05:50:19+00:00,2019-05-20 22:50:19-07:00,1558417819,0.0,0.0
2019-05-21 01:50:19+00:00,2019-05-20 18:50:19-07:00,1558403419,0.0,0.0
2019-05-20 21:50:19+00:00,2019-05-20 14:50:19-07:00,1558389019,0.0,0.0
2019-05-20 17:50:19+00:00,2019-05-20 10:50:19-07:00,1558374619,0.0,0.0
